TIPO;ESTADO;RED;EQUIPO A;EQUIPO B;EQUIPO C;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;OBSERVACIONES;MIGRAR
Nodo;ACTIVO;MAN ;MIN_INT;ASR9KPHAC01;ASR9KPBNZ01;Ministerio del Interior;Leandro N. Alem 168 PB;-34,605602;-58,370340;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;METROTEL;NO;NO;;NO;;SI
Nodo;ACTIVO;MAN ;MIN_TUR;ASR9KPHAC01;ASR9KPBNZ01;Ministerio de Turismo;Suipacha 1111 piso 13;-34,594872;-58,379797;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;METROTEL;METROTEL;NO;NO;;NO;;
Nodo;ACTIVO;MAN ;MIN_AMB;ASR9KPHAC01;ASR9KPBNZ01;Ministerio de Ambiente;San Martin 451 Piso 5;-34,602557;-58,373768;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;METROTEL;NO;NO;;NO;;SI
Nodo;ACTIVO;MAN ;MIN CULTURA;ASR9KPHAC01;;Ministerio de Cultura;Sanchez de Bustamante 53;-34,609991;-58,414593;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;TASA;;NO;NO;;NO;;
Nodo;ACTIVO;MAN ;UBA;ASR9KPHAC01;;Universidad de Buenos Aires;Uriburu 860;-34,598855;-58,399250;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;IPLAN;;NO;NO;;NO;;
Nodo;ACTIVO;MAN ;ANSES;BENAVIDEZ2;;ANSES;Piedras 361;-34,612460;-58,377924;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU66AC11;CIU65AG11H;CIU10AC11;Edificio Libertador (Ministerio de Defensa);Azopardo 250 Piso 11;-34,611780;-58,367450;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;SI;SI;;NO;;SI
ODF;ACTIVO;REFEFO AMBA;CIU66AC11;-;-;Estado Mayor del Ejército;Azopardo 250;-34,611780;-58,367450;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;SI;SI;;NO;;SI
ODF;ACTIVO;REFEFO AMBA;CIU66AC11;-;-;Estado Mayor Conjunto;Azopardo 250;-34,611780;-58,367450;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;SI;SI;;NO;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU36AC11;CIU65AG11H;CIU35AC11;Centro Cultural Kirchner (Secretaria de Medios);Sarmiento 151 piso 7;-34,603280;-58,369449;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
ODF;ACTIVO;REFEFO AMBA;CIU36AC11;-;-;Centro Cultural;Sarmiento 151;-34,603280;-58,369449;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;SI
Nodo;ACTIVO;REFEFO AMBA;CIU37AC11;CIU65AG11H;CIU43AC11;Ministerio de Produccion;Av. Presidente Julio A. Roca 651;-34,610522;-58,375432;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU47AC11;CIU43AC11;CBA2AG11H;ENACOM;Perú 103;-34,609453;-58,375347;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
Nodo;ACTIVO;REFEFO AMBA;CIU43AC11;CIU37AC11;CIU47AC11;INDEC;Av. Presidente Julio A. Roca 609;-34,610190;-58,375287;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;;;;;;;
